Issue ID,Issue Type,Summary,Parent,Priority,Labels,Labels,Labels,Epic Name,Description
1,Epic,A. Cuenta y perfil,,Medium,epica-a,,,A. Cuenta y perfil,"Historias H1 a H4: crear cuenta, iniciar y cerrar sesión, y perfil. API: Rances. Pantallas de acceso: Javier. Perfil: Rances."
2,Epic,B. Catálogo de ejercicios,,Medium,epica-b,,,B. Catálogo de ejercicios,Historias H5 a H9: catálogo base y ejercicios propios. Responsable: Javier.
3,Epic,C. Rutinas (CRUD de Javier),,Medium,epica-c,,,C. Rutinas (CRUD de Javier),"Historias H10 a H13: crear, ver, editar y eliminar rutinas. Es el CRUD que presenta Javier."
4,Epic,D. Entrenamiento (CRUD de Santiago),,Medium,epica-d,,,D. Entrenamiento (CRUD de Santiago),"Historias H14 a H17 y H23: registrar, ver, editar y eliminar sesiones. Es el CRUD que presenta Santiago."
5,Epic,E. Récords y progreso,,Medium,epica-e,,,E. Récords y progreso,"Historias H18 a H20: récords automáticos, pantalla de récords y progreso por ejercicio. API: Santiago. Pantallas: Rances y Javier."
6,Epic,F. Peso corporal (CRUD de Rances),,Medium,epica-f,,,F. Peso corporal (CRUD de Rances),"Historias H21, H22 y H24: registrar, ver, corregir y eliminar el peso corporal. Es el CRUD que presenta Rances."
7,Epic,G. Base técnica y entregas,,Medium,epica-g,,,G. Base técnica y entregas,"Bases de los tres proyectos, Jira, diseño de la base de datos, Postman, datos de demostración, evidencias y ensayo de la sustentación."
101,Story,H1 — Crear cuenta,1,High,sprint-2,javier,epica-a,,"*Como* visitante, *quiero* crear una cuenta con mi nombre, email, contraseña y objetivo, *para* guardar mis rutinas y mi progreso.

*Criterios de aceptación*
- *Dado* que no tengo cuenta
- *Cuando* envío nombre, email, contraseña de 8 a 72 caracteres y un objetivo
- *Entonces* se crea mi cuenta, quedo con la sesión iniciada y entro al inicio
- *Y* mi contraseña se guarda cifrada, nunca en texto
- *Y* si el email ya está registrado, sin importar mayúsculas, veo un aviso (409 {{EMAIL_YA_REGISTRADO}})
- *Y* si un campo no cumple las reglas, veo el error junto a ese campo (400 {{VALIDACION_FALLIDA}})

*Endpoints:* {{GET /referencias}}, {{POST /auth/registro}}
*Responsable:* Rances (API) y Javier (pantalla)
*Detalle:* https://github.com/rancesra/gymrutine/blob/main/docs/HISTORIAS.md#h1--crear-cuenta"
102,Story,H2 — Iniciar sesión,1,High,sprint-2,javier,epica-a,,"*Como* visitante con cuenta, *quiero* iniciar sesión con mi email y contraseña, *para* entrar a mis datos desde cualquier dispositivo.

*Criterios de aceptación*
- *Dado* que tengo una cuenta
- *Cuando* envío mi email y mi contraseña correctos
- *Entonces* entro al inicio y mi sesión dura 7 días en ese navegador
- *Y* si el email no existe o la contraseña no coincide, veo el mismo mensaje en los dos casos (401 {{CREDENCIALES_INVALIDAS}}), sin revelar cuál falló
- *Y* si mi sesión vence o el token no es válido, cualquier pantalla me devuelve a iniciar sesión

*Endpoints:* {{POST /auth/login}}
*Responsable:* Rances (API) y Javier (pantalla)
*Detalle:* https://github.com/rancesra/gymrutine/blob/main/docs/HISTORIAS.md#h2--iniciar-sesión"
103,Story,H3 — Cerrar sesión,1,High,sprint-2,javier,epica-a,,"*Como* usuario, *quiero* cerrar sesión, *para* que nadie use mi cuenta en un dispositivo compartido.

*Criterios de aceptación*
- *Dado* que tengo la sesión iniciada
- *Cuando* cierro sesión
- *Entonces* mi token deja de funcionar en el servidor y vuelvo a la pantalla de iniciar sesión
- *Y* en ese navegador ya no quedan guardados ni mi token ni mis datos

*Endpoints:* {{POST /auth/logout}}
*Responsable:* Rances (API) y Javier (pantalla)
*Detalle:* https://github.com/rancesra/gymrutine/blob/main/docs/HISTORIAS.md#h3--cerrar-sesión"
104,Story,H4 — Ver y editar mi perfil,1,Medium,sprint-3,rances,epica-a,,"*Como* usuario, *quiero* ver mi perfil y cambiar mi nombre y mi objetivo, *para* que las sugerencias se ajusten a lo que busco ahora.

*Criterios de aceptación*
- *Dado* que tengo la sesión iniciada
- *Cuando* cambio mi nombre o mi objetivo y guardo
- *Entonces* mi perfil queda actualizado
- *Y* las sugerencias nuevas usan el objetivo nuevo: los recomendados del catálogo y las series y repeticiones de las rutinas que cree desde ahora
- *Y* las rutinas que ya tenía conservan su objetivo
- *Y* mi email se muestra, pero no se puede cambiar

*Endpoints:* {{GET /usuarios/me}}, {{PUT /usuarios/me}}
*Responsable:* Rances
*Detalle:* https://github.com/rancesra/gymrutine/blob/main/docs/HISTORIAS.md#h4--ver-y-editar-mi-perfil"
